trip_id,arrival_time,departure_time,stop_id,stop_sequence
T001,07:00:00,07:00:00,S001,1
T001,07:12:00,07:12:00,S013,2
T001,07:18:00,07:18:00,S004,3
T002,07:30:00,07:30:00,S001,1
T002,07:40:00,07:40:00,S007,2
T002,07:52:00,07:52:00,S004,3
T003,08:00:00,08:00:00,S001,1
T003,08:10:00,08:10:00,S005,2
T003,08:20:00,08:20:00,S017,3
T004,08:30:00,08:30:00,S001,1
T004,08:45:00,08:45:00,S010,2
T005,09:00:00,09:00:00,S001,1
T005,09:20:00,09:20:00,S006,2
T006,09:30:00,09:30:00,S001,1
T006,09:50:00,09:50:00,S006,2
T007,10:00:00,10:00:00,S001,1
T007,10:12:00,10:12:00,S008,2
T009,07:15:00,07:15:00,S001,1
T009,07:25:00,07:25:00,S002,2
T010,08:00:00,08:00:00,S004,1
T010,08:08:00,08:08:00,S001,2
T011,09:00:00,09:00:00,S001,1
T011,09:18:00,09:18:00,S006,2
T012,07:30:00,07:30:00,S004,1
T012,07:42:00,07:42:00,S013,2
T012,07:48:00,07:48:00,S001,3
T013,08:30:00,08:30:00,S017,1
T013,08:40:00,08:40:00,S005,2
T013,08:50:00,08:50:00,S001,3
T014,10:00:00,10:00:00,S006,1
T014,10:20:00,10:20:00,S001,2
