route_id,service_id,trip_id,trip_headsign,shape_id,block_id
501,1755,2199294:563195:568913,Express - Downtown via Princess St,1117,568913
19,1744,2193534:563196:568885,Woodhaven,826,568885
2,1746,2203672:563198:568453,Division Street,1784,568453
701,1745,2183718:563199:568995,Express - Cataraqui Centre via Brock/Bath,1377,568995
2,1755,2181340:563200:568419,Division Street,1784,568419
501,1746,2203504:563201:568562,Express - Cataraqui Centre via Front/Bayridge,1506,568562
10,1746,2204087:563203:568409,Amherstview,1362,568409
31,1744,2192982:563204:568290,B - Kingston Centre,1790,568290
7B,1745,2183646:563205:568506,Bus Terminal,1384,568506
6,1746,2203943:563206:568446,Cataraqui Centre,1721,568446
N1,1745,2194877:563208:568394,Princess / Midland,1829,568394
801,1744,2193255:563209:568886,Express - Cataraqui Centre via Brock/Bath,1468,568886
31,1746,2203682:563210:568341,Providence Care Hospital,1763,568341
2,1755,2203266:563211:568956,B - Bus Terminal,1839,568956
701,1744,2193984:563212:568886,Express - Cataraqui Centre via Brock/Bath,1377,568886
502,1745,2183070:563213:568335,Express - Downtown via Bayridge/Front,1516,568335
12,1755,2182308:563214:568390,B - Downtown,1783,568390
502,1746,2203814:563215:568955,Express - Downtown via Bayridge/Front,1516,568955
502,1744,2192840:563216:568395,Express - Downtown via Bayridge/Front,1516,568395
602,1744,2193899:563218:568458,Express - Innovation / Highway 15 via CFB,1576,568458
16,1746,2203967:563219:568926,First Canada,1849,568926
502,1744,2192944:563220:568395,Express - Downtown via Bayridge/Front,1516,568395
702,1746,2204268:563221:568905,Express - King's Crossing via Division,1584,568905
2,1744,2194604:563222:568417,B - Bus Terminal,1824,568417
501,1760,2183033:563223:569203,Express - Cataraqui Centre via Front/Bayridge,1506,569203
4,1759,2193531:563224:569212,Cataraqui Centre via Princess St,1499,569212
19,1746,2203996:563225:568949,Cataraqui Centre,1300,568949
501,1759,2194537:563226:569187,Express - Cataraqui Centre via Front/Bayridge,1506,569187
502,1746,2204004:563227:568250,Express - Cataraqui Centre via Princess,1503,568250
32,1746,2203696:563228:568239,St. Lawrence College,1773,568239
6,1744,2193376:563229:568521,Cataraqui Centre,1781,568521
4,1753,2199423:563230:568923,Downtown via Princess St,1169,568923
4,1758,2199423:563230:569185,Downtown via Princess St,1169,569185
501,1745,2183414:563231:568972,Express - Cataraqui Centre via Front/Bayridge,1506,568972
1,1744,2193325:563232:568477,St. Lawrence College,1769,568477
601,1755,2182352:563233:568504,A - Express - Queen's/KGH via Highway 15,1835,568504
4,1745,2183358:563234:568564,Cataraqui Centre via Princess St,1499,568564
11,1753,2181515:563235:568958,Cataraqui Centre,1854,568958
11,1758,2181515:563235:569204,Cataraqui Centre,1854,569204
22,1755,2192697:563236:568572,First Canada via MacCauley,1443,568572
19,1746,2203823:563237:568926,Cataraqui Centre,1300,568926
4,1744,2193525:563238:568395,Downtown via Princess St,1169,568395
4,1744,2193524:563239:568464,Cataraqui Centre via Princess St,1502,568464
701,1745,2184059:563241:568988,Express - Cataraqui Centre via Downtown,1610,568988
6,1744,2193423:563242:568402,Cataraqui Centre,1797,568402
14,1755,2181760:563243:568400,Cataraqui North,1390,568400
701,1759,2193194:563244:569177,Express - Cataraqui Centre via Downtown,1610,569177
601,1746,2204215:563245:568276,Express - Queen's/KGH via CFB Kingston,1832,568276
502,1744,2192952:563247:568521,Express - Cataraqui Centre via Princess,1501,568521
